ACCION	RAMA	REMOTO	EN_DEV	EN_MAIN	DIRTY	EDAD	HEAD	PATH
ARCHIVAR	detached	no(detached)	no	no	2	11	0056e2e4	/home/kortux/Workspace/chagra-catA-verify
ARCHIVAR	feat/clima-paso3-descenso-3d	no	no	no	4	1	efd5c4ee	/home/kortux/Workspace/chagra-clima-paso3
ARCHIVAR	fix/entrada-valle-hover-confirm-20260827	no	no	no	5	9	023187aa	/home/kortux/Workspace/chagra-entrada-valle-hover-confirm
ARCHIVAR	fix/compai-caminar-huesos-20260825	no	no	no	5	9	47985a90	/home/kortux/Workspace/chagra-fix-compai-caminar-huesos
ARCHIVAR	fix/dom-tapa-montana-clima-20260902	no	no	no	1	1	085970a7	/home/kortux/Workspace/chagra-pr3101-20260904
MANTENER	fix/vida-repertorio-sincronizado-20260904	si	no	no	0	1	82dd06dd	/home/kortux/Workspace/chagra-vida-repertorio
ARCHIVAR	detached	no(detached)	no	no	4	9	ad6b030a	/home/kortux/Workspace/chagra-vida4-preview
ARCHIVAR	fix/dia-en-zona-horaria-de-la-finca-20260904	no	no	no	1	1	4398d6f2	/home/kortux/Workspace/chagra/.worktrees/bug-dia-utc-helada-20260904
ARCHIVAR	fix/clima-cierre-mecanico-20260904	no	no	no	1	1	17a257c3	/home/kortux/Workspace/chagra/.worktrees/clima-cierre-20260904
BORRAR	tmp/3134-dev-ref-20260904	no	si	no	0	1	054ca5d7	/home/kortux/Workspace/chagra/.worktrees/dev-3134-ref
BORRAR	chore/gate-compai-tinta-5-20260905	no	no	no	0	0	2fab0a52	/home/kortux/Workspace/chagra/.worktrees/gate-compai-tinta5-20260905
ARCHIVAR	chore/gate-portal-tinta-20260905	no	no	no	9	0	2906a4c5	/home/kortux/Workspace/chagra/.worktrees/gate-portal-tinta-20260905
BORRAR	docs/rescate-4-prs-informe-20260904	no	no	no	0	1	7a3dff71	/home/kortux/Workspace/chagra/.worktrees/informe-rescate
ARCHIVAR	fable/jaguar-tinta-rosetas-20260905	no	si	no	8	0	57f8bf43	/home/kortux/Workspace/chagra/.worktrees/jaguar-tinta-rosetas-20260905
MANTENER	fix/jaguar-tinta-rosetas-64px-20260904	si	no	no	2	1	4d972bec	/home/kortux/Workspace/chagra/.worktrees/jaguar-tinta-rosetas-64px-20260904
BORRAR	detached	no(detached)	no	no	0	9	44d76cd8	/home/kortux/Workspace/chagra/.worktrees/rescue-2859-crm
MANTENER	chore/laminas-fuera-solo-tintas-20260904	si	no	no	1	1	f00fd594	/home/kortux/Workspace/chagra/.worktrees/rescue-3124-laminas
MANTENER	feat/sierra-absorbe-clima-20260904	si	no	no	1	0	94332ec9	/home/kortux/Workspace/chagra/.worktrees/sierra-absorbe-clima-20260904
ARCHIVAR	detached	no(detached)	si	no	1	1	973f0f9c	/home/kortux/Workspace/chagra/.worktrees/sierra-antes-3125-20260904
ARCHIVAR	fable/sierra-realismo-costero-20260905	no	si	no	9	0	f558557c	/home/kortux/Workspace/chagra/.worktrees/sierra-fable-20260905
ARCHIVAR	fix/sierra-nieve-y-pisos-20260904	si	si	no	1	1	054ca5d7	/home/kortux/Workspace/chagra/.worktrees/sierra-nieve-y-pisos-20260904
BORRAR	fix/today-utc-helada-20260905	no	no	no	0	0	dcb4e399	/home/kortux/Workspace/chagra/.worktrees/today-utc-helada-20260905
BORRAR	bigpickle/3134-rebase-20260904	no	no	no	0	1	68b3d4d2	/home/kortux/Workspace/chagra/.worktrees/wt-3134-bigpickle-20260904
ARCHIVAR	fable/zariguya-tinta-receta-jaguar-20260904	no	no	no	249	0	8515b263	/home/kortux/Workspace/chagra/.worktrees/zariguya-tinta-20260904
ARCHIVAR	glm/archivar-laminas-viva	no	no	no	1	1	82b6734a	/tmp/glm-094-archivar-laminas-viva-solo-tinta-glm-archivar-laminas-viva
BORRAR	glm/3124-vitest-r3-20260905	no	si	no	0	0	1e454471	/tmp/glm-3124-vitest-r3-20260905-glm-3124-vitest-r3-20260905
BORRAR	glm/rebasar-3-prs-limpios	no	si	no	0	1	04ef6b39	/tmp/glm-rebasar-3-prs-limpios-20260904-glm-rebasar-3-prs-limpios
BORRAR	glm/rescate-5-ramas-sierra-clima-r2-20260905	no	si	no	0	0	90f12a94	/tmp/glm-rescate-5-ramas-sierra-clima-r2-20260905-glm-rescate-5-ramas-sierra-clima-r2-20260905
ARCHIVAR	glm/rb-3111-jaguar	no	no	no	1	1	b551c305	/tmp/glm-wt-3111
BORRAR	glm/rb-3119-huerfano	no	si	no	0	1	04ef6b39	/tmp/glm-wt-3119
ARCHIVAR	glm/rb-3137-init-sh	no	no	no	1	1	0bdd6bd8	/tmp/glm-wt-3137
BORRAR	detached	no(detached)	si	no	0	1	04ef6b39	/tmp/glm-wt-dev-ctrl
MANTENER	fix/auditor-integraciones-falsos-positivos-20260904	si	no	no	12	1	d652bef9	/tmp/laminas-fuera-20260904
ARCHIVAR	chore/laminas-r2-archivado-real-20260904	no	no	no	2	1	ad77c468	/tmp/laminas-r2-20260904
ARCHIVAR	glm/rescate-r2/1-clima-atmosfera-arte	no	si	no	2	0	90f12a94	/tmp/rescate-r2-wt
ARCHIVAR	glm/cerrar-valle-hover-y-bugs-ui-local	no	no	no	1	1	e1bfd55f	/tmp/verificar-3134
ARCHIVAR	glm/jaguar-sin-mortal	no	no	no	2	1	0fb63356	/tmp/wt-3111
ARCHIVAR	detached	no(detached)	si	no	3	1	037ad774	/tmp/wt-3119
--- resumen dry-run: 33 candidatos (11 a borrar, 22 a archivar+avisar) | edad promedio 2 dias
